cust_id,channel,date,impressions,clicks,cost
CUST02238,Programmatic,2024-12-05 00:45:48,5,0,0.0
CUST03754,Programmatic,2024-11-11 10:21:52,10,4,13.49
CUST00276,Programmatic,2024-10-08 11:22:05,7,5,4.97
CUST02866,Programmatic,2025-03-22 12:49:09,4,1,2.94
CUST01051,Programmatic,2025-02-13 15:07:43,5,2,8.39
CUST04405,Programmatic,2024-09-18 14:01:12,4,2,7.32
CUST00973,Programmatic,2024-10-13 10:04:02,10,9,17.17
CUST00043,Programmatic,2024-12-30 08:42:57,9,9,20.73
CUST02607,Programmatic,2025-02-22 07:00:31,5,3,2.3
CUST04455,Programmatic,2025-01-01 21:16:43,2,2,3.36
CUST03691,Programmatic,2024-07-24 06:33:44,1,1,2.18
CUST02837,Programmatic,2024-09-19 13:06:38,1,0,0.0
CUST01420,Programmatic,2024-08-21 02:46:16,3,0,0.0
CUST03675,Programmatic,2025-01-22 03:13:15,8,1,1.37
CUST02337,Programmatic,2025-01-29 00:15:38,9,7,6.36
CUST04244,Programmatic,2024-10-25 23:37:21,5,4,19.35
CUST03520,Programmatic,2025-04-13 23:56:20,2,1,0.94
CUST04251,Programmatic,2024-07-22 11:14:55,4,0,0.0
CUST03482,Programmatic,2024-10-15 18:39:59,9,2,7.34
CUST04585,Programmatic,2025-04-25 23:00:36,1,0,0.0
CUST03883,Programmatic,2024-10-23 22:47:45,9,0,0.0
CUST04215,Programmatic,2024-12-17 10:01:13,3,1,4.99
CUST04754,Programmatic,2025-06-08 03:14:23,3,2,1.93
CUST00943,Programmatic,2024-11-20 07:17:44,1,1,3.86
CUST01602,Programmatic,2024-12-18 15:38:34,6,5,6.85
CUST04628,Programmatic,2024-11-13 02:41:38,2,0,0.0
CUST01285,Programmatic,2025-02-09 15:51:02,8,2,5.96
CUST04754,Programmatic,2025-04-01 05:45:23,1,0,0.0
CUST00187,Programmatic,2024-11-01 18:08:57,1,0,0.0
CUST04897,Programmatic,2025-01-29 16:51:40,9,2,8.47
CUST03798,Programmatic,2025-03-07 09:46:45,10,9,37.43
CUST04305,Programmatic,2024-10-05 10:29:43,4,2,7.93
CUST02054,Programmatic,2025-06-07 07:14:56,4,1,2.21
CUST00279,Programmatic,2024-12-01 21:46:32,4,1,4.22
CUST02455,Programmatic,2025-04-17 19:43:28,1,0,0.0
CUST03833,Programmatic,2025-01-05 09:49:37,8,0,0.0
CUST03942,Programmatic,2025-02-15 18:21:09,9,1,2.5
CUST02844,Programmatic,2024-08-23 10:33:37,1,1,2.76
CUST01216,Programmatic,2025-06-20 12:00:28,5,3,0.5
CUST04179,Programmatic,2025-06-05 17:50:29,9,9,17.18
CUST04718,Programmatic,2024-07-27 15:37:34,3,0,0.0
CUST00960,Programmatic,2025-01-31 00:33:35,6,0,0.0
CUST01150,Programmatic,2025-03-02 11:54:48,9,6,27.54
CUST00373,Programmatic,2025-04-10 05:53:52,1,1,4.84
CUST02374,Programmatic,2024-10-25 20:38:59,10,4,18.4
CUST00843,Programmatic,2024-11-19 23:25:19,8,1,1.93
CUST04774,Programmatic,2024-12-06 22:31:00,1,0,0.0
CUST04103,Programmatic,2024-08-13 23:52:48,8,3,7.23
CUST02818,Programmatic,2025-03-28 15:51:29,10,10,40.29
CUST00176,Programmatic,2024-08-31 14:21:08,2,0,0.0
CUST04718,Programmatic,2025-04-04 00:59:29,7,4,10.61
CUST01670,Programmatic,2024-08-19 10:56:46,5,1,3.52
CUST04624,Programmatic,2025-06-20 18:26:03,8,8,36.91
CUST03493,Programmatic,2024-07-11 22:02:01,8,1,1.74
CUST01509,Programmatic,2025-01-03 19:12:04,10,5,16.99
CUST04874,Programmatic,2024-11-10 09:41:16,6,6,14.86
CUST04764,Programmatic,2025-01-05 15:30:49,5,3,10.17
CUST04069,Programmatic,2025-05-13 05:06:59,1,0,0.0
CUST00724,Programmatic,2025-02-10 09:07:40,10,1,3.73
CUST00386,Programmatic,2024-07-28 10:14:05,4,2,2.05
CUST03291,Programmatic,2025-03-06 01:16:26,4,2,6.32
CUST00938,Programmatic,2025-02-04 12:03:12,8,2,2.18
CUST00091,Programmatic,2025-01-29 09:35:02,6,6,19.16
CUST03055,Programmatic,2024-09-01 16:06:01,6,4,19.26
CUST04451,Programmatic,2024-12-15 05:33:04,7,6,7.88
CUST00903,Programmatic,2024-12-15 22:28:16,5,5,5.92
CUST03820,Programmatic,2025-03-25 06:04:43,1,1,0.64
CUST02809,Programmatic,2024-08-19 08:47:06,5,1,4.31
CUST00950,Programmatic,2025-01-03 23:44:20,2,2,5.31
CUST04098,Programmatic,2024-07-27 15:48:22,10,5,15.49
CUST04894,Programmatic,2024-08-07 01:26:10,2,2,1.65
CUST03166,Programmatic,2025-03-07 20:27:29,6,5,14.73
CUST00964,Programmatic,2024-09-28 12:51:52,8,3,3.72
