cust_id,channel,date,impressions,clicks,cost
CUST00913,Email,2024-07-29 18:49:26,1,1,1.3
CUST01144,Email,2024-07-25 13:50:12,2,2,7.46
CUST04468,Email,2024-11-10 09:26:33,2,2,4.33
CUST00245,Email,2024-09-14 11:38:31,2,0,0.0
CUST04932,Email,2025-04-09 16:14:00,1,0,0.0
CUST04465,Email,2024-12-16 00:29:24,7,3,6.9
CUST02279,Email,2025-06-06 07:42:32,1,0,0.0
CUST02788,Email,2024-07-11 18:28:04,5,1,1.16
CUST02758,Email,2025-05-22 05:05:32,2,0,0.0
CUST02941,Email,2025-04-16 14:10:48,6,4,5.58
CUST00356,Email,2025-01-09 10:01:34,8,8,5.69
CUST03101,Email,2024-10-21 19:46:46,2,2,3.07
CUST02963,Email,2025-04-04 04:50:50,10,3,10.66
CUST00376,Email,2024-09-15 08:21:40,4,2,9.86
CUST01908,Email,2025-06-22 01:06:29,2,1,1.46
CUST02989,Email,2024-10-03 19:07:55,3,2,3.68
CUST02188,Email,2025-02-12 20:24:24,2,2,6.42
CUST04376,Email,2025-01-30 03:06:13,4,1,2.37
CUST02212,Email,2025-02-15 09:19:36,9,3,10.36
CUST00459,Email,2025-04-16 03:07:48,4,0,0.0
CUST03287,Email,2025-02-08 02:43:42,5,0,0.0
CUST04647,Email,2025-06-07 13:39:41,6,1,3.31
CUST03242,Email,2025-01-26 22:42:16,8,2,2.8
CUST02021,Email,2025-04-17 07:43:31,9,8,11.1
CUST04789,Email,2024-07-18 02:23:20,7,6,11.24
CUST01134,Email,2025-02-28 11:21:28,9,7,3.82
CUST00386,Email,2024-07-05 15:16:16,2,0,0.0
CUST03459,Email,2024-12-31 22:46:49,10,1,1.99
CUST04882,Email,2024-11-14 14:26:25,8,8,10.66
CUST04533,Email,2024-07-22 09:09:05,1,0,0.0
CUST04399,Email,2024-10-27 17:55:11,5,5,8.83
CUST02405,Email,2025-04-30 14:40:48,7,2,4.65
CUST02158,Email,2024-10-03 19:26:25,9,2,5.18
CUST00872,Email,2025-04-12 04:37:59,5,5,12.94
CUST01630,Email,2024-09-28 02:11:00,3,2,7.67
CUST04419,Email,2024-08-10 03:34:37,9,0,0.0
CUST04003,Email,2024-11-22 16:36:53,1,0,0.0
CUST02520,Email,2025-04-18 06:45:17,4,0,0.0
CUST04648,Email,2025-02-09 00:13:55,2,0,0.0
CUST00567,Email,2025-05-30 10:00:00,9,2,1.46
CUST03894,Email,2025-02-11 08:21:50,9,2,2.8
CUST04970,Email,2025-03-02 15:01:11,7,3,13.96
CUST01648,Email,2025-02-02 09:59:24,5,3,14.93
CUST03060,Email,2025-06-22 18:41:00,8,8,18.5
CUST02031,Email,2025-06-07 09:37:14,4,0,0.0
CUST04820,Email,2025-03-13 08:46:01,9,3,8.95
CUST00059,Email,2025-01-13 21:47:29,2,2,6.38
CUST01876,Email,2025-05-05 05:20:48,2,0,0.0
CUST00581,Email,2025-01-04 02:07:44,9,3,4.39
CUST03977,Email,2024-07-05 21:17:37,4,4,2.99
CUST04678,Email,2024-10-14 20:30:51,10,7,9.03
CUST03875,Email,2024-12-08 06:23:52,7,3,1.69
CUST03532,Email,2024-08-22 01:57:42,6,3,6.34
CUST00444,Email,2025-06-16 00:10:04,2,0,0.0
CUST02780,Email,2025-01-26 22:34:24,2,0,0.0
CUST04394,Email,2024-07-29 11:07:44,8,2,4.33
CUST02282,Email,2024-11-08 14:04:53,8,3,13.15
CUST00618,Email,2025-02-22 21:18:37,8,8,4.64
CUST04429,Email,2024-10-08 14:34:21,1,0,0.0
CUST01937,Email,2024-09-24 06:23:51,3,3,7.44
CUST01752,Email,2025-04-27 06:18:57,7,0,0.0
CUST00018,Email,2025-06-05 20:46:35,7,4,18.56
CUST03728,Email,2024-11-27 06:31:34,5,3,10.54
CUST04553,Email,2025-01-15 11:14:08,8,2,2.06
CUST01784,Email,2025-01-15 02:42:49,1,0,0.0
CUST00469,Email,2025-04-19 05:30:40,1,1,2.56
CUST04351,Email,2025-04-17 05:17:33,3,0,0.0
CUST00657,Email,2025-03-31 19:47:23,3,0,0.0
CUST01927,Email,2024-09-26 14:06:48,7,1,4.71
CUST04667,Email,2024-07-21 05:07:56,4,4,12.05
CUST00672,Email,2024-08-17 00:40:05,7,5,23.4
CUST01674,Email,2025-03-20 20:49:31,6,1,1.4
CUST01073,Email,2024-08-14 14:27:32,5,3,4.95
CUST00595,Email,2025-04-10 05:05:36,1,1,3.14
CUST04613,Email,2025-04-13 17:08:44,2,0,0.0
CUST04145,Email,2024-12-09 21:43:33,5,1,4.67
CUST00564,Email,2025-04-17 18:38:18,4,2,2.99
CUST03590,Email,2024-07-06 10:51:00,9,4,12.39
CUST04334,Email,2024-12-10 23:18:11,1,1,4.67
CUST00849,Email,2024-10-20 04:05:19,3,2,1.33
CUST00877,Email,2024-08-04 22:25:47,9,2,2.87
CUST04955,Email,2024-11-29 19:03:30,4,2,2.2
CUST02163,Email,2025-06-07 06:18:55,9,7,9.31
CUST00417,Email,2024-11-30 18:20:53,2,2,4.35
CUST02267,Email,2025-01-17 15:56:45,1,0,0.0
CUST01072,Email,2025-05-07 07:58:08,5,1,3.73
CUST04520,Email,2024-08-04 03:46:54,7,0,0.0
CUST01222,Email,2025-03-18 02:39:33,9,0,0.0
CUST04772,Email,2025-04-09 08:58:04,9,2,4.41
CUST00343,Email,2024-10-07 03:18:51,5,2,9.01
CUST00327,Email,2024-11-13 23:17:54,6,1,3.44
CUST00843,Email,2025-04-11 17:55:51,6,6,17.06
CUST03330,Email,2025-04-10 16:07:34,10,2,9.27
CUST01940,Email,2025-01-09 07:29:00,3,1,4.42
CUST00204,Email,2025-03-22 07:39:04,3,2,7.87
CUST03373,Email,2024-12-16 19:52:40,4,2,1.76
CUST00886,Email,2025-07-01 18:21:47,7,0,0.0
CUST01823,Email,2024-10-04 06:36:52,4,3,5.44
CUST01865,Email,2025-05-12 11:15:36,4,0,0.0
CUST03265,Email,2024-07-31 08:06:00,6,2,8.67
CUST02287,Email,2024-08-16 17:16:53,6,5,12.98
CUST04393,Email,2025-02-09 02:43:30,6,0,0.0
CUST02140,Email,2025-04-30 11:24:28,3,2,0.57
CUST04888,Email,2024-12-21 13:07:08,7,5,18.35
CUST02570,Email,2025-05-04 23:06:15,7,1,1.99
CUST04724,Email,2025-02-17 07:38:26,4,2,0.63
CUST03573,Email,2024-09-07 14:51:48,1,0,0.0
CUST00574,Email,2025-04-08 21:53:05,6,4,6.55
CUST01021,Email,2025-06-29 07:42:09,5,4,6.46
CUST03346,Email,2024-08-19 01:30:07,6,3,10.55
CUST04542,Email,2025-01-15 01:47:21,3,1,2.16
CUST03106,Email,2024-10-07 13:36:32,3,2,4.18
CUST00004,Email,2025-05-24 10:16:24,5,2,2.26
CUST04752,Email,2024-08-05 22:46:48,10,10,16.79
CUST03620,Email,2025-03-31 01:05:19,8,3,7.81
CUST01391,Email,2024-12-08 15:48:22,2,1,2.63
CUST02746,Email,2024-07-18 02:49:31,2,0,0.0
CUST01841,Email,2025-01-16 19:45:49,4,1,0.22
CUST02006,Email,2025-01-27 23:27:42,8,1,2.33
CUST04716,Email,2024-12-31 12:54:41,4,3,7.57
CUST01999,Email,2024-10-28 04:28:12,3,0,0.0
CUST00874,Email,2024-11-20 03:54:39,7,3,2.89
CUST04244,Email,2025-05-13 17:05:39,8,0,0.0
CUST00995,Email,2024-10-05 06:56:13,8,2,8.05
CUST04352,Email,2024-11-14 18:33:24,9,9,14.89
CUST03626,Email,2024-08-04 20:08:13,10,8,17.53
CUST04489,Email,2025-01-22 14:41:54,8,2,7.49
CUST03889,Email,2025-04-11 15:44:51,8,4,15.13
