cust_id,channel,date,impressions,clicks,cost
CUST02378,Instagram,2025-04-13 00:50:48,9,1,1.27
CUST03986,Instagram,2025-02-26 20:28:08,8,7,7.33
CUST04372,Instagram,2025-06-29 08:08:08,3,2,4.38
CUST04391,Instagram,2025-05-31 21:04:52,2,1,4.46
CUST04856,Instagram,2024-09-08 03:02:20,7,1,2.95
CUST04752,Instagram,2024-07-22 07:44:04,2,1,3.3
CUST00602,Instagram,2024-08-06 00:32:54,3,2,6.39
CUST00120,Instagram,2024-09-07 17:37:33,2,0,0.0
CUST02966,Instagram,2025-03-12 19:23:04,5,2,1.85
CUST01192,Instagram,2025-01-04 03:31:40,2,2,0.82
CUST00699,Instagram,2025-01-05 17:16:31,3,2,7.18
CUST02765,Instagram,2025-05-17 06:38:16,5,1,2.63
CUST04996,Instagram,2024-12-11 02:51:05,8,7,21.19
CUST04833,Instagram,2025-04-25 18:24:39,2,2,0.95
CUST04617,Instagram,2024-07-27 03:04:41,7,7,27.7
CUST01253,Instagram,2024-08-29 10:30:26,2,2,1.68
CUST01102,Instagram,2024-09-23 10:48:33,6,5,10.28
CUST00331,Instagram,2024-10-13 07:05:03,10,8,36.38
CUST04844,Instagram,2025-06-23 05:50:21,8,0,0.0
CUST04576,Instagram,2025-04-22 09:05:30,8,2,9.25
CUST00175,Instagram,2024-10-06 19:24:21,5,5,21.42
CUST01978,Instagram,2025-03-26 10:58:54,1,1,3.2
CUST01144,Instagram,2024-08-07 09:07:47,8,2,8.62
CUST01547,Instagram,2024-11-14 06:39:35,3,1,1.5
CUST00742,Instagram,2024-12-27 11:19:01,4,1,3.99
CUST01107,Instagram,2024-11-12 06:49:27,4,3,7.62
CUST01963,Instagram,2025-04-21 15:12:59,3,0,0.0
CUST02596,Instagram,2025-03-01 07:01:14,9,7,3.17
CUST03863,Instagram,2024-10-18 05:39:59,3,2,7.94
CUST01984,Instagram,2024-11-15 05:11:47,4,4,15.65
CUST04868,Instagram,2025-04-16 08:16:25,1,1,0.4
CUST01412,Instagram,2024-07-29 21:13:12,9,9,5.57
CUST04554,Instagram,2024-08-05 08:36:42,8,0,0.0
CUST00232,Instagram,2025-07-01 18:58:18,4,3,1.46
CUST00961,Instagram,2024-09-30 03:30:56,4,2,8.97
CUST00300,Instagram,2024-10-17 05:44:16,6,6,20.42
CUST04115,Instagram,2025-05-18 01:27:20,5,0,0.0
CUST01523,Instagram,2024-09-22 17:04:48,1,0,0.0
CUST00362,Instagram,2024-11-27 04:01:23,2,1,0.86
CUST02477,Instagram,2025-06-08 01:27:51,6,2,2.42
CUST02975,Instagram,2024-07-24 00:06:42,3,2,4.93
CUST02822,Instagram,2025-04-04 20:32:56,7,7,10.32
CUST02222,Instagram,2025-04-09 03:33:40,2,1,1.15
CUST00378,Instagram,2024-11-28 09:35:38,10,2,7.6
CUST00246,Instagram,2024-07-07 05:52:01,1,0,0.0
CUST01018,Instagram,2025-01-08 11:53:53,5,1,3.22
CUST01655,Instagram,2025-01-02 09:41:24,6,3,12.49
CUST04630,Instagram,2025-04-03 04:12:55,10,4,11.88
CUST00014,Instagram,2025-03-08 16:45:02,7,0,0.0
CUST00853,Instagram,2024-08-20 23:37:16,10,2,5.25
CUST01877,Instagram,2024-09-21 18:21:04,8,3,4.45
CUST03328,Instagram,2024-07-30 10:49:59,10,4,6.77
CUST01449,Instagram,2024-09-30 02:48:20,2,0,0.0
CUST02009,Instagram,2024-08-03 11:58:09,9,0,0.0
CUST03335,Instagram,2024-10-09 10:24:32,10,2,7.65
CUST04539,Instagram,2025-06-17 20:33:51,2,1,0.65
CUST04223,Instagram,2024-09-19 15:18:18,6,3,3.37
CUST02306,Instagram,2025-01-03 06:10:09,6,2,8.53
CUST03372,Instagram,2024-12-18 18:07:12,7,0,0.0
CUST00881,Instagram,2024-09-24 18:48:00,10,4,9.29
CUST04980,Instagram,2025-06-24 11:31:50,2,1,4.66
CUST04522,Instagram,2024-08-21 06:59:02,8,0,0.0
CUST04672,Instagram,2024-11-09 15:06:12,7,5,19.59
CUST01425,Instagram,2025-05-20 06:07:34,1,1,4.6
CUST00873,Instagram,2024-12-17 19:01:09,8,5,9.46
CUST00101,Instagram,2025-04-17 03:16:53,5,5,12.18
CUST03163,Instagram,2024-09-28 17:07:40,4,4,16.47
CUST03507,Instagram,2025-04-21 01:33:59,4,0,0.0
CUST01433,Instagram,2024-09-27 22:59:33,3,2,9.63
CUST04884,Instagram,2025-05-15 08:00:40,7,3,6.76
CUST04559,Instagram,2024-12-26 05:55:20,3,0,0.0
CUST03200,Instagram,2025-04-17 11:21:32,7,7,6.26
CUST02807,Instagram,2024-08-27 06:06:47,2,2,2.01
CUST00947,Instagram,2025-03-14 07:43:34,2,2,9.21
CUST01141,Instagram,2025-04-20 06:54:59,2,0,0.0
CUST04344,Instagram,2025-05-18 00:59:59,5,0,0.0
CUST02619,Instagram,2024-11-08 22:36:35,2,1,2.16
CUST00976,Instagram,2025-04-13 05:34:51,9,9,38.02
CUST00345,Instagram,2025-06-20 23:09:35,9,4,6.87
CUST02749,Instagram,2025-02-26 10:30:43,4,0,0.0
CUST00847,Instagram,2024-09-09 09:40:29,8,4,7.08
CUST02802,Instagram,2025-05-17 20:19:15,4,1,1.45
CUST00568,Instagram,2025-03-15 11:47:11,10,8,19.82
CUST02478,Instagram,2024-12-04 05:02:25,8,5,1.58
CUST03194,Instagram,2024-12-16 12:20:54,4,0,0.0
CUST01933,Instagram,2024-12-26 14:19:47,2,1,0.34
CUST04736,Instagram,2024-11-17 22:32:52,4,2,3.7
CUST03426,Instagram,2025-06-13 16:08:28,6,0,0.0
CUST02123,Instagram,2024-07-05 22:51:46,9,2,5.5
CUST01798,Instagram,2024-09-20 17:10:02,9,6,29.56
CUST03430,Instagram,2025-06-10 02:13:47,6,0,0.0
CUST04494,Instagram,2024-08-04 19:13:08,7,4,6.7
CUST00199,Instagram,2024-11-06 13:41:52,4,3,13.52
CUST02576,Instagram,2024-08-03 13:02:38,4,0,0.0
CUST00189,Instagram,2024-07-08 01:09:35,8,3,2.07
CUST04986,Instagram,2024-09-27 13:55:05,10,7,30.57
CUST04737,Instagram,2024-07-15 17:07:22,4,2,0.24
CUST02621,Instagram,2025-05-29 08:11:24,8,0,0.0
CUST03268,Instagram,2024-07-04 14:14:47,10,10,10.58
CUST01578,Instagram,2025-04-19 05:18:30,4,1,0.38
CUST04474,Instagram,2025-01-10 08:26:01,4,3,10.72
CUST03329,Instagram,2024-12-10 16:54:31,1,0,0.0
CUST00403,Instagram,2024-12-22 06:14:46,3,2,0.21
CUST02950,Instagram,2024-09-01 12:59:22,9,6,14.11
CUST04100,Instagram,2024-07-21 20:07:33,4,4,16.06
CUST04174,Instagram,2025-05-07 19:31:22,6,0,0.0
CUST01088,Instagram,2024-07-19 19:12:29,6,6,16.29
CUST03778,Instagram,2024-07-09 22:29:08,4,2,1.06
CUST04552,Instagram,2025-05-27 06:47:10,4,4,15.02
CUST01144,Instagram,2024-12-30 21:02:51,9,0,0.0
CUST04053,Instagram,2024-09-16 23:38:35,9,0,0.0
CUST01747,Instagram,2024-08-27 12:33:47,8,0,0.0
CUST02298,Instagram,2025-01-13 08:09:38,4,1,4.75
CUST03265,Instagram,2024-09-08 22:32:42,6,6,4.02
CUST01129,Instagram,2024-10-03 12:38:26,5,1,0.87
CUST01132,Instagram,2025-04-10 16:13:13,3,0,0.0
CUST02588,Instagram,2024-10-16 17:53:36,2,0,0.0
CUST02338,Instagram,2024-08-21 19:42:51,1,0,0.0
CUST02272,Instagram,2025-03-27 18:12:37,2,1,1.56
CUST03239,Instagram,2025-04-15 20:35:37,3,3,3.81
CUST00473,Instagram,2024-07-13 08:51:17,9,4,0.85
CUST01137,Instagram,2024-09-21 12:53:49,3,1,3.56
CUST00256,Instagram,2024-07-07 08:49:06,6,1,2.93
CUST02783,Instagram,2025-02-28 21:50:59,6,3,11.08
CUST00147,Instagram,2024-11-11 23:54:28,10,4,15.58
CUST02369,Instagram,2025-03-08 08:17:56,6,0,0.0
CUST00644,Instagram,2024-08-04 03:12:04,1,1,3.47
CUST04230,Instagram,2024-08-24 06:14:56,10,10,41.02
CUST01083,Instagram,2024-10-20 22:54:20,4,3,8.3
CUST03473,Instagram,2024-12-30 00:43:22,5,2,4.25
CUST03502,Instagram,2025-05-13 01:02:43,9,1,3.48
CUST04144,Instagram,2024-10-10 05:34:32,10,3,9.79
CUST02756,Instagram,2024-08-06 09:59:13,2,0,0.0
CUST04874,Instagram,2025-03-18 02:55:28,7,6,2.26
CUST01642,Instagram,2024-09-12 22:51:15,8,3,10.71
CUST02643,Instagram,2025-01-07 06:52:16,1,0,0.0
CUST01428,Instagram,2024-11-11 10:15:42,6,1,0.33
CUST02056,Instagram,2025-04-02 12:00:25,9,2,5.45
CUST01868,Instagram,2024-10-14 04:41:26,2,0,0.0
CUST03261,Instagram,2024-10-02 18:31:23,2,1,1.87
CUST04039,Instagram,2024-12-05 08:00:54,7,3,2.24
CUST02158,Instagram,2024-11-25 19:45:14,1,1,3.67
CUST04903,Instagram,2025-03-03 15:36:39,1,0,0.0
CUST02355,Instagram,2024-10-18 15:21:21,3,1,3.08
CUST04292,Instagram,2024-09-10 07:34:33,6,5,8.9
CUST02022,Instagram,2025-05-28 10:54:23,9,6,8.25
CUST04896,Instagram,2025-06-09 18:30:53,6,2,4.19
CUST01331,Instagram,2025-06-16 02:10:18,6,3,3.26
CUST04631,Instagram,2024-12-07 15:35:58,7,2,4.32
CUST03156,Instagram,2025-02-17 12:15:12,8,5,18.31
CUST03479,Instagram,2025-05-19 09:55:54,6,2,7.04
CUST04969,Instagram,2025-02-27 16:41:12,1,1,0.18
CUST03354,Instagram,2025-02-14 20:31:07,8,4,12.89
CUST03649,Instagram,2025-01-13 20:05:31,2,0,0.0
CUST04022,Instagram,2024-10-08 20:06:05,6,5,23.34
CUST03016,Instagram,2024-11-11 11:28:27,6,4,6.02
CUST04810,Instagram,2024-07-03 20:23:56,9,4,15.45
CUST03067,Instagram,2025-06-15 19:03:08,5,4,11.37
CUST00625,Instagram,2025-02-06 14:15:57,2,0,0.0
CUST02628,Instagram,2025-06-25 23:09:51,3,2,3.54
CUST00873,Instagram,2025-05-21 11:14:14,9,1,2.65
CUST02693,Instagram,2024-09-24 19:58:47,5,1,2.42
CUST02333,Instagram,2024-12-31 23:12:57,7,3,13.38
CUST04127,Instagram,2024-10-08 01:33:29,5,3,13.32
CUST03724,Instagram,2025-03-07 13:49:12,3,3,9.38
CUST02634,Instagram,2025-03-07 10:03:40,1,0,0.0
CUST00687,Instagram,2025-03-16 22:36:47,3,0,0.0
CUST01417,Instagram,2024-12-22 09:32:29,9,3,12.74
CUST04968,Instagram,2024-12-15 07:04:18,2,1,1.76
CUST00388,Instagram,2025-03-01 07:37:07,4,1,0.43
CUST02438,Instagram,2025-02-02 23:25:55,1,1,4.76
CUST02897,Instagram,2025-02-07 05:42:46,4,0,0.0
CUST03930,Instagram,2025-05-10 02:57:51,2,1,1.75
CUST00563,Instagram,2024-11-15 13:49:54,6,5,3.44
CUST00790,Instagram,2025-06-30 03:28:02,6,0,0.0
CUST04886,Instagram,2024-12-16 09:32:30,9,0,0.0
CUST04817,Instagram,2024-07-11 03:03:03,8,6,10.45
CUST02587,Instagram,2025-02-10 06:06:32,6,6,16.41
CUST03251,Instagram,2025-06-09 23:21:55,10,1,4.33
CUST01920,Instagram,2024-09-11 16:02:46,8,0,0.0
CUST00901,Instagram,2024-10-26 18:18:51,9,9,7.45
CUST03841,Instagram,2025-01-13 05:57:13,2,0,0.0
CUST00932,Instagram,2024-10-14 01:43:48,9,9,28.99
CUST04388,Instagram,2025-06-04 02:59:33,10,5,8.29
CUST03457,Instagram,2024-07-19 10:05:05,3,1,1.22
CUST01627,Instagram,2024-08-14 00:45:55,7,7,5.19
CUST01971,Instagram,2024-07-12 02:31:05,1,1,4.58
CUST00885,Instagram,2024-07-25 03:35:49,1,0,0.0
CUST02093,Instagram,2024-10-18 12:02:27,8,1,0.19
CUST04749,Instagram,2024-09-12 01:43:20,8,1,0.66
CUST01643,Instagram,2024-09-06 07:53:12,7,7,26.75
