cust_id,channel,date,impressions,clicks,cost
CUST04099,YouTube,2025-01-02 18:10,7,0,0
CUST03792,YouTube,2024-07-23 9:29,4,1,1.06
CUST02285,YouTube,2025-06-27 5:13,9,5,11.78
CUST03329,YouTube,2024-11-22 21:12,9,4,4.62
CUST00139,YouTube,2025-04-22 16:50,6,0,0
CUST04870,YouTube,2025-04-04 3:26,5,4,9.46
CUST01431,YouTube,2025-01-19 17:07,1,0,0
CUST01813,YouTube,2025-05-02 18:16,5,2,4.94
CUST01613,YouTube,2024-10-22 18:39,7,2,5.78
CUST03751,YouTube,2024-08-12 12:35,5,3,12.72
CUST00646,YouTube,2024-11-07 17:44,7,2,8.35
CUST01597,YouTube,2025-04-08 22:38,1,0,0
CUST03511,YouTube,2025-06-11 0:56,1,0,0
CUST03820,YouTube,2025-05-07 15:02,2,1,0.54
CUST04880,YouTube,2024-11-11 0:51,4,3,12.46
CUST04217,YouTube,2024-10-31 1:15,8,7,11.15
CUST03758,YouTube,2025-03-06 23:54,7,5,2.06
CUST01568,YouTube,2025-02-05 6:40,2,2,8.27
CUST02324,YouTube,2025-04-02 3:32,9,7,26.56
CUST02864,YouTube,2025-01-24 1:43,10,3,0.43
CUST00194,YouTube,2025-02-14 4:05,4,3,12.39
CUST03408,YouTube,2025-01-18 19:52,8,2,0.94
CUST02009,YouTube,2025-04-21 19:50,3,0,0
CUST00116,YouTube,2025-06-11 23:34,6,2,9.26
CUST01467,YouTube,2024-09-27 9:00,1,0,0
CUST04382,YouTube,2025-04-26 1:18,2,1,4.75
CUST00423,YouTube,2025-02-10 5:51,2,0,0
CUST00537,YouTube,2025-02-18 21:42,8,6,28.72
CUST03787,YouTube,2025-03-24 3:30,9,2,0.76
CUST03533,YouTube,2024-09-17 16:04,6,3,2.53
CUST00330,YouTube,2024-09-10 16:21,4,3,3.24
CUST00916,YouTube,2024-10-15 22:04,1,0,0
CUST04189,YouTube,2024-11-17 6:53,3,1,0.68
CUST00303,YouTube,2024-12-05 12:12,10,6,8.99
CUST01539,YouTube,2025-02-17 16:06,9,2,1.45
CUST02957,YouTube,2025-04-23 5:06,1,1,2.55
CUST00196,YouTube,2025-02-02 8:12,7,6,28.61
CUST00668,YouTube,2024-10-17 1:27,7,5,3.34
CUST04134,YouTube,2024-07-08 0:10,4,2,8.55
CUST03362,YouTube,2024-11-03 0:13,3,1,2.15
CUST03625,YouTube,2024-07-14 1:41,6,6,18.27
CUST03458,YouTube,2024-10-19 18:45,6,3,12.59
CUST03125,YouTube,2024-12-09 16:04,3,1,2.3
