cust_id,viewed_datetime,cart_added_datetime,purchased_datetime,item,category,quantity,unit_price
CUST00002,2023-08-30 12:08,2023-08-30 13:46,2023-08-30 16:10,DrugA,Pain Relief,5,100.38
CUST00002,2024-10-30 13:31,2024-10-30 13:45,2024-10-30 14:54,DrugB,Allergy,4,115.56
CUST00003,2023-12-31 12:47,2023-12-31 14:06,2023-12-31 15:58,DrugD,Antibiotics,5,114.56
CUST00003,2024-06-12 17:32,2024-06-12 18:21,2024-06-12 20:01,DrugA,Supplements,4,21.6
CUST00003,2025-04-28 2:16,2025-04-28 4:08,2025-04-28 5:56,DrugB,Antibiotics,3,-50
CUST00003,2025-02-08 8:47,2025-02-08 9:38,2025-02-08 9:53,DrugD,Supplements,3,61.58
CUST00003,2025-01-24 18:40,2025-01-24 19:35,2025-01-24 22:01,DrugA,Supplements,2,128.92
CUST00003,2024-12-31 8:06,2024-12-31 8:56,2024-12-31 9:39,DrugA,Skin Care,1,40.29
CUST00003,2025-04-28 2:16,2025-04-28 4:08,2025-04-28 5:56,DrugB,Antibiotics,3,-50
CUST00004,2025-03-17 17:34,2025-03-17 19:33,2025-03-17 22:01,DrugE,Pain Relief,1,132.54
CUST00004,2025-05-10 10:49,2025-05-10 11:36,2025-05-10 14:36,DrugB,Pain Relief,3,38.28
CUST00005,,2023-10-23 19:02,2023-10-23 20:49,DrugA,Pain Relief,1,103.01
CUST00005,2024-09-30 3:17,2024-09-30 4:32,2024-09-30 6:06,DrugC,Antibiotics,5,97.11
CUST00006,2023-10-02 19:02,2023-10-02 20:39,2023-10-02 21:01,DrugA,Allergy,5,112.79
CUST00006,2024-03-11 5:43,2024-03-11 7:00,2024-03-11 9:48,DrugA,Pain Relief,5,27.86
CUST00006,2024-01-27 0:34,2024-01-27 1:56,2024-01-27 3:52,DrugC,Pain Relief,3,12.79
CUST00006,2025-03-04 19:29,2025-03-04 21:00,2025-03-04 22:36,DrugD,Antibiotics,2,117.77
CUST00006,2024-10-12 10:19,2024-10-12 12:00,2024-10-12 12:41,DrugB,Supplements,4,86.13
CUST00007,2024-06-08 12:18,2024-06-08 13:52,2024-06-08 15:11,DrugC,Antibiotics,4,45.06
CUST00007,2023-11-17 0:29,2023-11-17 1:00,2023-11-17 3:08,DrugA,Skin Care,5,83.51
CUST00007,2023-12-10 23:16,,2023-12-11 3:44,DrugA,Skin Care,3,62.41
CUST00007,2024-04-01 15:17,2024-04-01 16:08,2024-04-01 18:44,DrugE,Antibiotics,1,134.63
CUST00007,2023-07-15 5:51,2023-07-15 5:58,2023-07-15 8:03,DrugB,Skin Care,5,125.64
CUST00007,2024-12-09 0:04,2024-12-09 1:42,2024-12-09 3:01,DrugE,,3,35.34
CUST00007,2025-03-22 13:39,2025-03-22 14:15,2025-03-22 15:05,DrugD,Pain Relief,2,62.85
CUST00008,2025-01-20 2:00,2025-01-20 3:17,2025-01-20 4:55,DrugD,Supplements,4,128.44
CUST00008,2024-08-15 9:24,2024-08-15 10:24,2024-08-15 11:33,DrugC,Antibiotics,1,31.07
CUST00008,2025-01-02 11:46,2025-01-02 12:33,2025-01-02 14:13,DrugE,Allergy,5,115.82
CUST00009,2024-03-08 8:58,2024-03-08 10:43,2024-03-08 11:14,DrugD,Antibiotics,4,92.66
CUST00009,2023-12-29 7:40,2023-12-29 8:12,2023-12-29 9:44,DrugE,Antibiotics,4,35.97
CUST00009,2025-04-21 14:29,2025-04-21 15:22,2025-04-21 17:19,DrugE,Skin Care,4,138.48
CUST00009,2025-05-02 6:13,2025-05-02 6:52,2025-05-02 8:42,DrugE,Allergy,3,19.68
CUST00009,2025-01-24 6:29,2025-01-24 7:08,2025-01-24 8:33,DrugE,Antibiotics,3,91.95
CUST00009,2024-09-14 20:01,2024-09-14 20:10,2024-09-14 21:47,DrugE,Skin Care,1,111.03
CUST00009,2024-10-22 1:33,2024-10-22 1:46,2024-10-22 3:21,DrugB,Supplements,5,71.39
CUST00009,2024-10-13 10:27,2024-10-13 10:34,2024-10-13 10:46,DrugC,Allergy,1,16.56
CUST00009,2025-06-14 10:07,2025-06-14 10:45,2025-06-14 11:01,DrugB,Pain Relief,1,59.72
CUST00009,2025-03-13 6:34,2025-03-13 7:13,2025-03-13 7:43,DrugB,Pain Relief,4,62.07
CUST00010,2023-07-07 1:02,2023-07-07 2:10,2023-07-07 2:43,DrugA,Supplements,2,27.88
CUST00010,2025-01-09 6:50,2025-01-09 8:28,2025-01-09 10:33,DrugC,Skin Care,5,107.02
