cust_id,channel,date,impressions,clicks,cost
CUST03962,Facebook,2024-08-20 21:56:09,8,5,21.01
CUST01781,Facebook,2024-12-26 03:57:00,9,2,8.32
CUST02354,Facebook,2024-12-13 22:15:27,5,2,9.58
CUST01916,Facebook,2025-01-21 18:20:46,5,2,2.77
CUST03341,Facebook,2025-04-18 13:33:07,3,3,10.24
CUST03339,Facebook,2024-10-24 07:35:03,6,6,14.39
CUST02332,Facebook,2024-08-14 02:13:54,1,0,0.0
CUST01358,Facebook,2024-11-09 21:55:41,1,1,1.5
CUST01928,Facebook,2024-07-29 01:49:25,1,0,0.0
CUST02641,Facebook,2024-12-24 16:34:34,6,4,5.97
CUST01127,Facebook,2024-07-19 09:48:20,2,1,0.62
CUST03399,Facebook,2025-06-26 03:03:03,8,4,19.34
CUST01569,Facebook,2024-07-15 06:32:13,3,0,0.0
CUST01002,Facebook,2024-07-10 22:41:41,1,0,0.0
CUST03217,Facebook,2024-12-12 15:32:28,6,1,4.15
CUST01249,Facebook,2025-02-28 05:11:36,2,0,0.0
CUST02024,Facebook,2025-04-22 10:58:54,1,1,3.73
CUST01363,Facebook,2024-12-01 14:11:48,5,2,7.25
CUST02284,Facebook,2025-03-30 09:17:39,10,1,2.32
CUST04064,Facebook,2024-09-02 15:08:27,10,2,6.39
CUST01973,Facebook,2024-12-16 13:26:40,10,3,9.34
CUST01077,Facebook,2025-01-18 20:43:53,6,1,1.91
CUST04499,Facebook,2024-11-13 15:07:14,2,1,4.73
CUST04823,Facebook,2024-11-14 23:48:54,3,0,0.0
CUST03433,Facebook,2024-07-12 02:45:15,6,4,18.95
CUST00937,Facebook,2025-01-17 15:45:09,1,1,1.85
CUST04276,Facebook,2025-04-22 06:48:23,10,1,3.7
CUST00538,Facebook,2024-10-31 02:44:56,7,2,4.16
CUST00909,Facebook,2024-10-31 06:26:07,8,1,3.39
CUST01148,Facebook,2024-07-28 01:58:46,3,1,1.09
CUST00655,Facebook,2025-05-09 04:28:11,7,5,3.44
CUST00992,Facebook,2024-07-06 23:12:58,7,3,2.47
CUST00814,Facebook,2024-08-16 04:35:22,6,2,6.79
CUST01108,Facebook,2025-06-21 09:50:39,8,6,19.0
CUST00935,Facebook,2025-04-13 00:51:27,7,0,0.0
CUST00225,Facebook,2025-04-08 14:19:14,1,1,2.93
CUST02504,Facebook,2024-12-17 13:56:08,5,3,2.3
CUST03564,Facebook,2025-01-11 15:24:22,6,1,0.76
CUST00260,Facebook,2024-09-06 12:34:19,4,4,5.9
CUST01766,Facebook,2025-05-23 04:36:55,6,2,0.39
CUST03613,Facebook,2024-09-02 23:15:21,5,1,1.49
CUST00730,Facebook,2025-05-12 10:13:51,8,8,20.65
CUST00119,Facebook,2025-06-01 11:20:05,1,1,0.44
CUST04992,Facebook,2025-05-04 02:55:56,3,0,0.0
CUST03698,Facebook,2025-06-08 14:36:00,2,1,4.2
CUST00625,Facebook,2024-08-23 09:08:18,9,2,7.25
CUST04373,Facebook,2024-08-08 06:46:45,7,0,0.0
CUST02154,Facebook,2025-06-30 08:47:44,3,0,0.0
CUST04679,Facebook,2024-12-16 07:14:04,1,0,0.0
CUST04992,Facebook,2024-12-18 21:03:17,6,5,22.95
CUST04050,Facebook,2024-11-12 22:36:49,4,4,6.4
CUST00488,Facebook,2024-10-24 00:06:21,7,1,2.23
CUST04275,Facebook,2025-01-22 20:21:31,2,2,5.2
CUST04108,Facebook,2024-12-31 23:57:20,8,4,4.81
CUST02562,Facebook,2025-01-18 23:45:56,8,7,23.35
CUST01306,Facebook,2024-12-08 03:04:22,4,4,7.43
CUST01146,Facebook,2025-03-24 16:20:06,2,0,0.0
CUST00571,Facebook,2024-10-16 23:50:59,1,1,4.64
CUST04868,Facebook,2025-03-03 12:17:18,5,3,5.21
CUST02001,Facebook,2024-12-07 07:41:55,8,7,22.98
CUST02844,Facebook,2024-11-13 06:59:51,8,3,1.15
CUST04746,Facebook,2025-06-25 13:59:27,7,2,9.13
CUST00082,Facebook,2025-05-10 09:07:35,5,3,13.97
CUST00861,Facebook,2025-01-30 00:31:40,7,7,31.34
CUST03352,Facebook,2024-08-05 06:09:29,4,1,4.87
CUST01128,Facebook,2025-03-11 10:18:31,5,4,3.56
CUST01070,Facebook,2025-04-29 05:54:03,2,0,0.0
CUST03226,Facebook,2025-05-03 14:04:12,9,3,1.02
CUST01049,Facebook,2025-06-24 23:21:01,7,0,0.0
CUST02818,Facebook,2024-11-17 19:08:51,6,2,9.12
CUST00728,Facebook,2025-02-27 09:35:26,6,5,20.32
CUST02641,Facebook,2025-06-26 04:42:42,4,4,18.59
CUST01703,Facebook,2024-11-30 17:03:34,2,2,6.23
CUST02484,Facebook,2024-12-04 23:39:16,9,6,19.92
CUST02517,Facebook,2025-05-24 01:48:11,8,6,21.91
CUST03322,Facebook,2025-02-06 14:50:21,4,2,7.1
CUST03630,Facebook,2024-10-22 05:56:29,3,0,0.0
CUST02741,Facebook,2025-02-27 09:36:38,9,7,24.74
CUST01485,Facebook,2024-09-02 13:06:43,1,0,0.0
CUST03560,Facebook,2024-12-26 22:45:32,9,7,6.31
CUST02062,Facebook,2024-07-11 14:55:30,2,2,7.55
CUST00987,Facebook,2025-06-14 02:20:09,10,7,25.03
CUST01762,Facebook,2025-06-08 12:48:44,7,2,9.39
CUST00687,Facebook,2025-05-13 03:13:52,3,0,0.0
CUST03874,Facebook,2025-04-13 21:10:51,2,1,1.93
CUST00724,Facebook,2024-11-24 12:13:11,10,3,2.39
CUST03757,Facebook,2024-11-29 20:19:57,10,8,13.11
CUST02335,Facebook,2024-09-07 17:05:04,2,1,2.07
CUST00517,Facebook,2024-09-02 21:51:25,3,0,0.0
CUST03361,Facebook,2024-11-04 20:58:02,10,1,0.31
CUST04567,Facebook,2024-10-27 07:46:23,6,0,0.0
CUST03629,Facebook,2024-12-31 09:41:54,7,6,27.45
CUST02299,Facebook,2024-07-17 20:52:15,10,6,14.67
CUST00678,Facebook,2024-12-25 19:12:56,10,6,2.79
CUST00317,Facebook,2025-04-24 09:21:04,1,1,1.67
CUST03126,Facebook,2025-06-17 01:12:33,9,1,1.75
CUST02444,Facebook,2025-03-30 16:25:50,4,3,6.98
CUST00916,Facebook,2025-03-26 10:16:51,6,1,2.63
CUST01686,Facebook,2024-11-21 22:55:08,3,3,4.48
CUST01287,Facebook,2025-02-07 19:04:07,7,2,1.99
CUST03423,Facebook,2025-03-28 15:31:12,5,0,0.0
CUST00576,Facebook,2025-04-23 11:22:11,5,0,0.0
CUST01434,Facebook,2025-04-01 14:22:57,6,3,10.75
CUST01581,Facebook,2025-01-14 09:47:01,3,0,0.0
CUST00144,Facebook,2024-10-02 08:16:22,2,2,0.65
CUST02266,Facebook,2024-11-05 18:44:00,6,4,7.84
CUST03183,Facebook,2024-08-22 15:10:22,6,4,3.4
CUST03251,Facebook,2025-05-24 07:07:56,7,7,4.36
CUST04912,Facebook,2024-11-04 20:27:08,7,3,9.21
CUST03562,Facebook,2024-12-31 08:55:51,9,4,6.89
CUST02330,Facebook,2025-01-26 09:46:21,10,4,19.7
CUST01086,Facebook,2025-02-17 13:31:03,6,0,0.0
CUST01800,Facebook,2024-07-07 12:30:06,1,1,3.38
CUST04042,Facebook,2024-12-07 04:43:28,9,5,6.01
CUST03204,Facebook,2024-12-13 17:52:32,4,1,0.16
CUST04142,Facebook,2025-03-21 05:20:11,1,0,0.0
CUST03157,Facebook,2025-05-13 14:05:24,6,0,0.0
CUST00311,Facebook,2024-09-07 13:36:44,10,10,28.71
CUST02651,Facebook,2024-11-09 19:41:52,6,4,13.7
CUST04915,Facebook,2025-05-17 06:51:33,6,4,13.7
CUST01797,Facebook,2025-02-10 11:46:18,6,6,10.98
CUST01544,Facebook,2025-07-02 05:57:45,9,7,22.64
CUST00781,Facebook,2025-03-15 01:55:37,5,3,6.92
CUST00137,Facebook,2024-11-08 21:02:40,1,0,0.0
CUST03345,Facebook,2025-01-20 12:15:21,4,4,0.63
CUST00027,Facebook,2024-08-29 01:52:59,4,3,12.38
CUST03514,Facebook,2025-05-23 02:49:29,5,3,4.26
CUST04163,Facebook,2025-03-13 16:45:06,3,0,0.0
CUST01199,Facebook,2024-08-06 00:52:30,8,7,15.22
CUST02565,Facebook,2025-07-01 13:26:38,4,0,0.0
CUST03879,Facebook,2025-05-09 17:36:49,1,0,0.0
CUST04893,Facebook,2025-04-25 23:53:34,4,2,3.73
CUST03862,Facebook,2024-10-11 04:00:12,5,3,4.97
CUST01986,Facebook,2024-09-21 15:16:36,3,0,0.0
CUST00283,Facebook,2024-07-20 08:38:12,3,2,4.46
CUST01853,Facebook,2025-01-15 19:51:25,4,1,1.26
CUST03143,Facebook,2025-04-18 13:19:04,6,6,14.77
CUST00638,Facebook,2024-12-20 06:56:47,1,1,4.32
CUST02813,Facebook,2024-11-30 11:31:41,9,7,4.25
CUST02814,Facebook,2025-02-08 19:02:39,2,0,0.0
CUST01117,Facebook,2024-09-28 13:04:51,4,2,0.96
CUST03480,Facebook,2024-10-29 15:47:09,9,6,22.5
CUST03656,Facebook,2024-08-08 21:20:05,5,1,1.36
CUST04751,Facebook,2025-01-08 12:03:21,1,1,2.04
CUST02400,Facebook,2024-10-17 20:36:14,2,1,3.86
CUST02583,Facebook,2025-05-13 08:40:09,1,1,4.36
CUST00541,Facebook,2025-04-22 10:55:04,5,1,4.28
CUST02135,Facebook,2025-04-03 03:20:46,9,3,2.9
CUST02703,Facebook,2024-08-27 21:53:36,5,2,2.42
CUST00011,Facebook,2024-12-30 10:48:39,1,1,3.13
CUST03362,Facebook,2025-02-10 22:18:09,7,6,14.89
CUST00109,Facebook,2025-01-09 23:04:34,5,0,0.0
CUST03719,Facebook,2025-02-13 10:44:17,2,2,5.36
CUST03324,Facebook,2025-03-27 16:17:04,9,9,41.66
CUST01234,Facebook,2024-09-06 23:03:40,7,5,23.37
CUST04931,Facebook,2024-11-18 12:13:16,6,0,0.0
CUST01359,Facebook,2025-06-07 05:24:56,6,1,3.44
CUST01512,Facebook,2024-08-12 15:14:49,4,3,6.6
CUST04838,Facebook,2025-02-28 04:42:28,2,2,1.92
CUST04133,Facebook,2025-02-03 01:44:21,7,6,18.16
CUST04337,Facebook,2025-06-24 01:31:33,9,2,8.01
CUST02128,Facebook,2025-06-19 05:03:47,4,0,0.0
CUST01718,Facebook,2025-06-08 04:22:35,8,2,1.12
CUST00710,Facebook,2025-03-27 10:13:51,3,3,3.82
CUST03188,Facebook,2024-12-10 21:20:29,5,3,12.76
CUST01230,Facebook,2025-04-03 13:53:01,4,2,2.14
CUST01835,Facebook,2024-09-12 08:57:05,10,2,6.52
CUST04433,Facebook,2025-07-03 12:58:28,3,1,1.51
CUST02632,Facebook,2024-12-30 17:17:15,4,4,9.71
CUST00459,Facebook,2025-02-04 07:32:49,4,1,4.33
CUST04769,Facebook,2024-12-13 03:18:19,2,1,2.58
CUST00396,Facebook,2025-06-08 00:16:13,3,2,8.95
CUST01677,Facebook,2024-09-10 08:27:36,10,5,5.02
CUST04790,Facebook,2025-02-16 07:43:25,7,6,17.47
CUST02598,Facebook,2024-08-08 07:09:43,6,4,18.97
CUST00871,Facebook,2025-05-20 20:47:20,4,1,1.42
CUST01860,Facebook,2025-07-02 19:32:36,4,3,12.87
CUST04034,Facebook,2024-11-08 10:57:31,2,1,3.53
CUST01741,Facebook,2025-06-15 13:55:40,1,0,0.0
CUST01875,Facebook,2025-06-04 07:59:54,4,0,0.0
CUST04359,Facebook,2025-05-30 00:10:40,5,5,16.63
CUST04438,Facebook,2025-06-11 17:07:33,3,3,0.57
CUST04341,Facebook,2025-06-16 04:00:37,6,6,17.32
CUST00855,Facebook,2025-01-28 21:49:32,4,0,0.0
CUST01744,Facebook,2025-05-01 13:27:53,9,8,34.56
CUST04900,Facebook,2024-07-30 06:07:14,10,6,10.3
CUST04920,Facebook,2024-10-23 19:41:22,10,7,14.86
CUST03639,Facebook,2025-01-11 19:05:08,10,1,0.3
CUST01452,Facebook,2025-07-01 12:52:23,1,0,0.0
CUST02345,Facebook,2024-10-29 02:47:22,7,0,0.0
CUST04705,Facebook,2024-11-04 05:33:19,9,7,17.08
CUST01948,Facebook,2025-05-15 22:34:20,6,3,11.69
CUST02114,Facebook,2024-12-29 08:01:53,9,4,13.0
CUST03673,Facebook,2024-10-07 07:44:47,9,9,26.48
CUST03034,Facebook,2025-01-07 06:26:06,9,8,17.14
CUST01928,Facebook,2024-10-11 05:45:53,10,10,22.77
CUST00383,Facebook,2024-10-21 20:27:51,7,4,19.48
CUST03031,Facebook,2024-09-03 15:04:37,5,3,6.14
CUST00084,Facebook,2025-05-26 18:32:38,10,6,28.04
CUST04333,Facebook,2024-12-25 01:01:52,5,3,14.59
CUST02591,Facebook,2024-11-17 08:00:16,2,1,2.1
CUST00466,Facebook,2024-07-31 08:20:19,1,1,4.88
CUST04093,Facebook,2024-09-20 17:32:38,6,5,22.82
CUST03772,Facebook,2024-08-14 11:04:09,4,4,11.86
CUST02905,Facebook,2025-05-04 06:36:23,1,1,3.95
CUST04521,Facebook,2025-04-27 19:52:19,7,4,10.95
CUST00208,Facebook,2024-07-16 01:51:21,8,3,11.76
CUST04438,Facebook,2024-08-09 09:32:57,7,3,10.99
CUST03123,Facebook,2025-05-06 16:57:43,10,1,0.19
CUST02805,Facebook,2025-05-17 21:42:13,8,6,28.68
CUST04468,Facebook,2025-06-21 07:30:59,4,2,7.48
CUST00584,Facebook,2024-07-08 06:11:08,2,1,4.43
CUST01859,Facebook,2025-05-29 06:25:58,4,3,6.73
CUST03477,Facebook,2025-04-18 09:40:30,10,9,4.72
CUST03650,Facebook,2024-08-15 23:55:04,3,1,1.46
CUST03949,Facebook,2024-07-24 21:42:44,7,2,8.14
CUST01946,Facebook,2024-07-09 03:31:39,10,7,19.82
CUST00664,Facebook,2025-01-03 02:38:08,2,0,0.0
CUST00150,Facebook,2025-05-06 16:48:40,3,1,2.66
CUST00658,Facebook,2024-08-16 16:02:44,9,4,6.07
CUST03118,Facebook,2024-12-12 13:35:45,8,5,6.36
CUST02062,Facebook,2024-09-26 13:13:28,1,1,1.46
CUST00779,Facebook,2024-08-03 08:16:21,2,0,0.0
CUST02675,Facebook,2024-09-29 22:22:05,1,1,3.83
CUST03324,Facebook,2024-07-31 14:39:11,10,1,1.42
CUST03393,Facebook,2024-08-17 15:23:05,1,1,4.05
CUST04626,Facebook,2024-09-18 03:05:32,3,2,3.89
CUST03970,Facebook,2024-11-15 18:41:56,9,8,31.01
CUST02558,Facebook,2025-04-26 08:27:52,2,0,0.0
CUST01668,Facebook,2025-05-09 16:06:19,8,8,2.78
CUST02143,Facebook,2024-12-12 06:18:31,4,2,3.44
CUST00480,Facebook,2024-12-28 06:51:30,10,10,17.3
CUST02486,Facebook,2024-12-28 16:27:50,6,2,5.78
CUST02747,Facebook,2025-01-02 16:44:52,3,2,5.87
CUST03171,Facebook,2024-07-27 20:15:44,5,5,24.84
CUST01086,Facebook,2024-07-31 20:26:30,5,2,6.07
CUST01650,Facebook,2025-04-08 01:06:49,10,2,7.02
CUST01058,Facebook,2025-07-02 04:51:35,10,3,13.68
CUST03845,Facebook,2024-09-30 12:30:05,5,3,12.91
CUST02136,Facebook,2024-09-28 21:42:11,9,7,11.55
CUST00314,Facebook,2025-03-17 04:15:10,4,1,1.9
CUST02544,Facebook,2024-08-24 02:15:38,2,1,0.31
CUST02845,Facebook,2025-06-22 12:05:45,8,5,15.56
CUST04779,Facebook,2024-07-25 23:01:14,6,5,20.92
CUST04869,Facebook,2024-10-12 05:10:51,7,5,3.11
