cust_id,channel,date,impressions,clicks,cost
CUST04842,LinkedIn,2025-01-27 18:15:44,2,0,0.0
CUST02657,LinkedIn,2024-09-01 07:50:48,2,0,0.0
CUST04027,LinkedIn,2025-03-18 01:05:31,10,3,8.3
CUST04717,LinkedIn,2024-09-18 07:23:30,1,1,1.15
CUST01899,LinkedIn,2024-10-10 10:14:22,2,0,0.0
CUST04289,LinkedIn,2024-11-25 04:54:32,7,4,1.16
CUST03672,LinkedIn,2025-04-08 02:59:32,5,3,9.04
CUST04400,LinkedIn,2025-06-27 21:50:07,7,5,1.24
CUST03633,LinkedIn,2024-07-29 04:47:02,7,4,18.64
CUST03345,LinkedIn,2025-03-26 13:45:17,1,0,0.0
CUST02167,LinkedIn,2024-10-02 23:12:56,5,2,1.51
CUST02089,LinkedIn,2025-06-06 10:48:05,8,8,2.18
CUST01976,LinkedIn,2024-11-01 09:41:48,8,7,8.64
CUST04356,LinkedIn,2025-05-21 07:41:59,8,6,18.95
CUST02752,LinkedIn,2024-10-03 00:38:41,10,7,9.12
CUST03146,LinkedIn,2024-08-17 01:14:37,9,8,34.67
CUST02720,LinkedIn,2024-08-04 14:40:51,3,1,3.87
CUST03354,LinkedIn,2024-11-16 21:51:46,2,0,0.0
CUST04943,LinkedIn,2024-07-03 18:18:12,5,1,2.06
CUST00075,LinkedIn,2025-04-09 17:30:06,6,5,19.3
CUST02888,LinkedIn,2024-07-13 22:28:56,8,7,7.1
CUST04713,LinkedIn,2024-08-12 19:19:11,2,1,2.16
CUST02513,LinkedIn,2025-01-15 13:25:12,3,2,7.19
CUST03980,LinkedIn,2025-06-12 05:47:35,1,1,2.42
CUST04871,LinkedIn,2024-08-13 01:52:50,9,1,1.53
CUST01425,LinkedIn,2025-01-31 17:49:10,1,1,3.07
CUST03624,LinkedIn,2025-06-07 13:12:33,2,0,0.0
CUST04793,LinkedIn,2024-07-07 01:30:46,6,0,0.0
CUST04494,LinkedIn,2025-05-04 05:52:55,7,1,3.49
CUST00281,LinkedIn,2025-05-01 14:15:34,4,3,2.17
CUST04681,LinkedIn,2025-03-14 14:23:51,6,2,4.85
