cust_id,channel,date,impressions,clicks,cost
CUST04099,YouTube,2025-01-02 18:10:53,7,0,0.0
CUST03792,YouTube,2024-07-23 09:29:02,4,1,1.06
CUST02285,YouTube,2025-06-27 05:13:58,9,5,11.78
CUST03329,YouTube,2024-11-22 21:12:52,9,4,4.62
CUST00139,YouTube,2025-04-22 16:50:32,6,0,0.0
CUST04870,YouTube,2025-04-04 03:26:23,5,4,9.46
CUST01431,YouTube,2025-01-19 17:07:24,1,0,0.0
CUST01813,YouTube,2025-05-02 18:16:33,5,2,4.94
CUST01613,YouTube,2024-10-22 18:39:57,7,2,5.78
CUST03751,YouTube,2024-08-12 12:35:28,5,3,12.72
CUST00646,YouTube,2024-11-07 17:44:36,7,2,8.35
CUST01597,YouTube,2025-04-08 22:38:44,1,0,0.0
CUST03511,YouTube,2025-06-11 00:56:46,1,0,0.0
CUST03820,YouTube,2025-05-07 15:02:28,2,1,0.54
CUST04880,YouTube,2024-11-11 00:51:11,4,3,12.46
CUST04217,YouTube,2024-10-31 01:15:01,8,7,11.15
CUST03758,YouTube,2025-03-06 23:54:55,7,5,2.06
CUST01568,YouTube,2025-02-05 06:40:57,2,2,8.27
CUST02324,YouTube,2025-04-02 03:32:33,9,7,26.56
CUST02864,YouTube,2025-01-24 01:43:17,10,3,0.43
CUST00194,YouTube,2025-02-14 04:05:14,4,3,12.39
CUST03408,YouTube,2025-01-18 19:52:09,8,2,0.94
CUST02009,YouTube,2025-04-21 19:50:17,3,0,0.0
CUST00116,YouTube,2025-06-11 23:34:08,6,2,9.26
CUST01467,YouTube,2024-09-27 09:00:22,1,0,0.0
CUST04382,YouTube,2025-04-26 01:18:01,2,1,4.75
CUST00423,YouTube,2025-02-10 05:51:28,2,0,0.0
CUST00537,YouTube,2025-02-18 21:42:39,8,6,28.72
CUST03787,YouTube,2025-03-24 03:30:55,9,2,0.76
CUST03533,YouTube,2024-09-17 16:04:08,6,3,2.53
CUST00330,YouTube,2024-09-10 16:21:21,4,3,3.24
CUST00916,YouTube,2024-10-15 22:04:19,1,0,0.0
CUST04189,YouTube,2024-11-17 06:53:44,3,1,0.68
CUST00303,YouTube,2024-12-05 12:12:24,10,6,8.99
CUST01539,YouTube,2025-02-17 16:06:00,9,2,1.45
CUST02957,YouTube,2025-04-23 05:06:16,1,1,2.55
CUST00196,YouTube,2025-02-02 08:12:13,7,6,28.61
CUST00668,YouTube,2024-10-17 01:27:17,7,5,3.34
CUST04134,YouTube,2024-07-08 00:10:08,4,2,8.55
CUST03362,YouTube,2024-11-03 00:13:01,3,1,2.15
CUST03625,YouTube,2024-07-14 01:41:39,6,6,18.27
CUST03458,YouTube,2024-10-19 18:45:25,6,3,12.59
CUST03125,YouTube,2024-12-09 16:04:46,3,1,2.3
CUST04467,YouTube,2025-02-18 13:34:42,3,0,0.0
CUST04722,YouTube,2025-06-27 17:05:51,3,2,9.61
CUST03473,YouTube,2025-06-29 16:56:27,3,1,4.7
CUST04308,YouTube,2024-10-24 04:06:34,9,0,0.0
CUST04150,YouTube,2024-10-28 22:46:57,6,5,8.28
CUST01692,YouTube,2025-03-31 04:14:20,3,2,3.47
CUST00568,YouTube,2024-10-01 20:57:38,1,0,0.0
CUST00448,YouTube,2024-11-03 11:00:19,4,1,2.92
CUST03944,YouTube,2025-03-18 09:47:37,8,4,16.11
CUST03704,YouTube,2025-03-24 07:58:48,9,1,0.89
CUST01132,YouTube,2024-12-30 08:09:44,7,5,4.09
CUST00417,YouTube,2024-09-21 07:55:02,5,0,0.0
CUST03994,YouTube,2025-03-21 19:16:11,10,3,8.94
CUST02033,YouTube,2025-03-04 10:34:58,5,5,15.24
CUST02872,YouTube,2024-11-03 11:43:26,7,5,22.14
CUST03594,YouTube,2025-05-17 23:36:04,4,2,5.52
